entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
AFR,Afrika,region,2014-W25,burned_area_km2,64716.49,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W26,burned_area_km2,58081.17,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W27,burned_area_km2,66365.26,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W28,burned_area_km2,79874.06,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W29,burned_area_km2,69263.6,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W30,burned_area_km2,76715.2,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W31,burned_area_km2,69833.87,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W32,burned_area_km2,54153.27,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W33,burned_area_km2,55064.59,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W34,burned_area_km2,84851.73,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W35,burned_area_km2,77130.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W36,burned_area_km2,66794.51,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W37,burned_area_km2,87375.96,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W38,burned_area_km2,54929.07,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W39,burned_area_km2,60588.81,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W40,burned_area_km2,39119.08,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W41,burned_area_km2,45029.77,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W42,burned_area_km2,24665.04,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W43,burned_area_km2,24955.66,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W44,burned_area_km2,29597.16,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W45,burned_area_km2,33438.03,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W46,burned_area_km2,32872.13,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W47,burned_area_km2,33178.54,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W48,burned_area_km2,50197.39,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W49,burned_area_km2,47777.99,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W50,burned_area_km2,81930.12,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W51,burned_area_km2,86585.66,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2014-W52,burned_area_km2,91757.68,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W01,burned_area_km2,102988.65,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W02,burned_area_km2,89598.07,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W03,burned_area_km2,60945.37,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W04,burned_area_km2,60850.32,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W05,burned_area_km2,60229.38,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W06,burned_area_km2,34654.77,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W07,burned_area_km2,35741.03,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W08,burned_area_km2,27040.65,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W09,burned_area_km2,35372.9,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W10,burned_area_km2,26829.34,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W11,burned_area_km2,21149.71,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W12,burned_area_km2,18252.65,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W13,burned_area_km2,18534.12,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W14,burned_area_km2,13440.02,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W15,burned_area_km2,12166.97,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W16,burned_area_km2,17561.97,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W17,burned_area_km2,10093.63,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W18,burned_area_km2,9723.92,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W19,burned_area_km2,9952.45,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W20,burned_area_km2,17948.01,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
AFR,Afrika,region,2015-W21,burned_area_km2,26128.23,km2,K2,gwis_weekly_burned_area,measured,f_sensor_break;f_min_fire_size;f_product_level
